symbol,yf_symbol,company,sector,marketCap,trailingPE,beta,vol_30d,ret_1m,total_esg,environment_score,social_score,governance_score,source,imputed,label_note
AKSHAR.NS,AKSHAR.NS,Akshar Spintex Limited,Consumer Cyclical,488230496.0,,0.757,0.03481602201661342,0.052631633983975634,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AKSHARCHEM.NS,AKSHARCHEM.NS,AksharChem (India) Limited,Basic Materials,2261927424.0,51.866917,0.123,0.019848947482093315,0.037146622672322493,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AKSHOPTFBR.NS,AKSHOPTFBR.NS,Aksh Optifibre Limited,Technology,1238123136.0,,-0.124,0.04370655845899404,-0.0026281183410804543,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
AKUMS.NS,AKUMS.NS,AKUMS DRUGS AND PHARMA L,Healthcare,69998264320.0,20.483871,,0.013114065861351106,-0.003270111096755235,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
AKZOINDIA.NS,AKZOINDIA.NS,Akzo Nobel India Limited,Basic Materials,149910978560.0,36.884544,0.254,0.008056067368548055,-0.03340495088768902,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ALANKIT.NS,ALANKIT.NS,Alankit Limited,Technology,3275303424.0,18.538462,0.676,0.021007580836696623,-0.08850227327241211,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
ALBERTDAVD.NS,ALBERTDAVD.NS,Albert David Limited,Healthcare,4783172096.0,75.77757,0.041,0.011008249390457966,0.0558739849901575,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Healthcare)
ALEMBICLTD.NS,ALEMBICLTD.NS,Alembic Limited,Real Estate,25397995520.0,8.015409,0.482,0.015245599188352095,-0.04150905590109355,50.0,45.0,50.0,55.0,sector_proxy,True,imputed_from_sector(Real Estate)
ALICON.NS,ALICON.NS,Alicon Castalloy Limited,Industrials,15503504384.0,42.64002,0.33,0.030269100048924222,0.07095857945884143,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
ALIVUS.NS,ALIVUS.NS,Alivus Life Sciences Limited,Healthcare,111173394432.0,22.44673,0.089,0.024050158603020354,-0.04309478509951814,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
ALKALI.NS,ALKALI.NS,Alkali Metals Limited,Basic Materials,911001920.0,,0.058,0.03439212032723801,-0.06508507703758126,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ALKEM.NS,ALKEM.NS,Alkem Laboratories Limited,Healthcare,649477095424.0,28.426397,0.34,0.007465715983602707,-0.013798111837327487,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
ALKYLAMINE.NS,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Basic Materials,96477995008.0,51.866924,0.536,0.01198381840712619,-0.05727135211691026,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ALLCARGO.NS,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,32215595008.0,,0.196,0.02455652625360894,-0.020029954211089218,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
ALLDIGI.NS,ALLDIGI.NS,Alldigi Tech Limited,Industrials,14002190336.0,20.959282,0.181,0.013433136567542598,-0.03218615683272796,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
ALLTIME.NS,ALLTIME.NS,ALL TIME PLASTICS LIMITED,Consumer Defensive,19904538624.0,41.623287,,0.022884724057351938,0.10390556259224559,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Consumer Defensive)
ALMONDZ.NS,ALMONDZ.NS,Almondz Global Securities Limited,Financial Services,2972628480.0,15.962265,0.233,0.021828485265606247,-0.12149533358150655,45.0,40.0,45.0,50.0,sector_proxy,True,imputed_from_sector(Financial Services)
ALOKINDS.NS,ALOKINDS.NS,Alok Industries Limited,Consumer Cyclical,86544138240.0,,-0.031,0.01439304522782265,-0.02571263835474591,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
ALPA.NS,ALPA.NS,Alpa Laboratories Limited,Healthcare,1879556864.0,7.1808686,0.56,0.01159071486890921,-0.038324874388905084,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Healthcare)
ALPHAGEO.NS,ALPHAGEO.NS,Alphageo (India) Limited,Energy,1631781376.0,,0.472,0.02287157644363585,0.013736665825014205,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Energy)
ALPSINDUS.NS,ALPSINDUS.NS,Alps Industries Limited,Consumer Cyclical,79191008.0,,0.206,0.032555749994673665,0.03296700057711699,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AMANTA.NS,AMANTA.NS,AMANTA HEALTHCARE LIMITED,Healthcare,4850562560.0,46.09594,,0.0194888265379336,-0.10265072807800102,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Healthcare)
AMBER.NS,AMBER.NS,Amber Enterprises India Limited,Consumer Cyclical,299697471488.0,105.89295,-0.194,0.013292787546382906,0.010428393671861214,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AMBICAAGAR.NS,AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,431660384.0,83.666664,0.311,0.017225333868755806,-0.011032261172400193,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Defensive)
AMBIKCO.NS,AMBIKCO.NS,Ambika Cotton Mills Limited,Consumer Cyclical,7783927296.0,12.936191,0.169,0.012680886126788775,-0.07226277475721632,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AMBUJACEM.NS,AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,1371614871552.0,31.63626,-0.131,0.009706989362053055,-0.04228512075879953,25.09,12.82,5.13,7.14,yahoo,False,yahoo
AMDIND.NS,AMDIND.NS,AMD Industries Limited,Consumer Cyclical,1104387968.0,,-0.022,0.04570270006211928,0.02380952703717587,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AMJLAND.NS,AMJLAND.NS,AMJ Land Holdings Limited,Real Estate,2340663808.0,11.627049,0.186,0.013893823447035646,0.03824336860444899,40.0,35.0,40.0,45.0,sector_proxy,True,imputed_from_sector(Real Estate)
AMNPLST.NS,AMNPLST.NS,Amines & Plasticizers Limited,Basic Materials,12159669248.0,30.291437,-0.371,0.02641513226728874,-0.03251277287505805,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AMRUTANJAN.NS,AMRUTANJAN.NS,Amrutanjan Health Care Limited,Healthcare,21451892736.0,39.284576,0.392,0.01167830147765862,0.004267375566920473,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Healthcare)
ANANDRATHI.NS,ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,264436465664.0,77.12279,0.414,0.02107769090793842,0.10784859815338499,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
